task,league,regime,model,auc,pr_auc,log_loss,brier,ece,precision_at_k,recall_at_k,split_id
selection,MBB,ablation,S4_efficiency,0.9999223280861641,0.9996767545018842,0.03784368298245662,0.009115526608845792,0.029021862843343932,0.9852941176470589,0.9852941176470589,4.0
selection,MBB,ablation,S5_recency,0.9999223280861641,0.9996767545018842,0.03788949185383838,0.009137072672680085,0.02906026167742186,0.9852941176470589,0.9852941176470589,4.0
selection,MBB,ablation,S6_conference,0.9995857497928748,0.9983328305903229,0.034516037612134995,0.008295252092098946,0.017461995338633116,0.9705882352941176,0.9705882352941176,4.0
selection,MBB,ablation,S1_winpct,0.7454785861713107,0.4307008391829783,0.42728101929391743,0.13560275995815618,0.023745025702616523,0.38235294117647056,0.38235294117647056,5.0
selection,MBB,ablation,S2_elo,1.0,0.9999999999999998,0.03722405235089388,0.009108390061880469,0.026321970759919277,1.0,1.0,5.0
selection,MBB,ablation,S3_sos,0.99984520123839,0.9993487135437042,0.03669165576213487,0.00890869492333037,0.027691967063969786,0.9852941176470589,0.9852941176470589,5.0
selection,MBB,ablation,S4_efficiency,0.9998581011351909,0.9994035799878895,0.03683268391058521,0.00894110259838314,0.0267090469513992,0.9852941176470589,0.9852941176470589,5.0
selection,MBB,ablation,S5_recency,0.9998581011351909,0.9994035799878895,0.03677348243358813,0.008931470400614504,0.026612962118138565,0.9852941176470589,0.9852941176470589,5.0
selection,MBB,ablation,S6_conference,0.9995743034055727,0.9983014700338101,0.0335433376747565,0.008079593159432873,0.01820871467836634,0.9705882352941176,0.9705882352941176,5.0
selection,MBB,ablation,S1_winpct,0.7555538172715894,0.41961623833577294,0.42833518230426826,0.13612863581159773,0.023323335582095116,0.4117647058823529,0.4117647058823529,6.0
selection,MBB,ablation,S2_elo,0.9999608886107635,0.9998413034278459,0.036506858181340904,0.009071444579459919,0.02669147194643215,0.9926470588235294,0.9926470588235294,6.0
selection,MBB,ablation,S3_sos,0.9997914059240717,0.9991326687964242,0.03644242817569114,0.009093672078327413,0.024140470776918943,0.9852941176470589,0.9852941176470589,6.0
selection,MBB,ablation,S4_efficiency,0.9997914059240717,0.9991326687964242,0.03643399903532417,0.009085439170322254,0.024153217897411514,0.9852941176470589,0.9852941176470589,6.0
selection,MBB,ablation,S5_recency,0.9998174801835628,0.9992428141182952,0.03639467332642624,0.009085814490959597,0.023124726895062554,0.9852941176470589,0.9852941176470589,6.0
selection,MBB,ablation,S6_conference,0.9997001460158531,0.9988070261508266,0.03187251613999163,0.007560593021785029,0.01702800615931397,0.9779411764705882,0.9779411764705882,6.0
selection,MBB,ablation,S1_winpct,0.7471505737620181,0.39830648267951885,0.43177377836692865,0.13707550319014195,0.01993008094986005,0.4411764705882353,0.4411764705882353,7.0
selection,MBB,ablation,S2_elo,0.9999741548640546,0.9998934356351235,0.035438046490102605,0.008836634670009174,0.025237466482032855,0.9926470588235294,0.9926470588235294,7.0
selection,MBB,ablation,S3_sos,0.9998320066163549,0.9992953184586542,0.03536145741706815,0.00887760560212939,0.022584755140005998,0.9852941176470589,0.9852941176470589,7.0
selection,MBB,ablation,S4_efficiency,0.9998320066163549,0.9992953184586542,0.03538968054715672,0.008886004490285336,0.023448690032350072,0.9852941176470589,0.9852941176470589,7.0
selection,MBB,ablation,S5_recency,0.9998320066163549,0.9993017657175305,0.03555054612511835,0.00896486575205732,0.021746011390310772,0.9779411764705882,0.9779411764705882,7.0
selection,MBB,ablation,S6_conference,0.9997027809366277,0.9988016541011729,0.030776190921668663,0.007336702138505088,0.016437447815777342,0.9779411764705882,0.9779411764705882,7.0
selection,MBB,ablation,S1_winpct,0.7707767722473605,0.42780461980955165,0.4147978296773609,0.1305058328765646,0.030424539126343297,0.45588235294117646,0.45588235294117646,8.0
selection,MBB,ablation,S2_elo,1.0,1.0,0.03349164105847313,0.008187804707583114,0.025577360056943218,1.0,1.0,8.0
selection,MBB,ablation,S3_sos,0.9998868778280543,0.9995137442064014,0.033240532440748816,0.008107115468450115,0.0231691535570911,0.9852941176470589,0.9852941176470589,8.0
selection,MBB,ablation,S4_efficiency,0.9998868778280543,0.9995137442064014,0.033235640399289154,0.008106670774126534,0.02318383243888531,0.9852941176470589,0.9852941176470589,8.0
selection,MBB,ablation,S5_recency,0.9998868778280543,0.9995168972711272,0.03342910289477415,0.008185721996032987,0.023244897654630788,0.9852941176470589,0.9852941176470589,8.0
selection,MBB,ablation,S6_conference,0.9997737556561086,0.9990499037714531,0.029363814229559186,0.0069312902482597605,0.020844283181947684,0.9705882352941176,0.9705882352941176,8.0
selection,MBB,ablation,S1_winpct,0.7796239888145411,0.43307506898406745,0.41150220049104674,0.12874468273961776,0.04487152070677536,0.47794117647058826,0.47794117647058826,9.0
selection,MBB,ablation,S2_elo,1.0,0.9999999999999998,0.03194222829359107,0.0076888790793083195,0.025540899372725263,1.0,1.0,9.0
selection,MBB,ablation,S3_sos,0.9999250973734145,0.9996747456928917,0.03169519681410142,0.007587629910143189,0.02220080786592338,0.9926470588235294,0.9926470588235294,9.0
selection,MBB,ablation,S4_efficiency,0.9999250973734145,0.9996747456928917,0.031617025608414125,0.0075739749474026345,0.022137790995456142,0.9926470588235294,0.9926470588235294,9.0
selection,MBB,ablation,S5_recency,0.9999250973734145,0.9996747456928917,0.031930034054678445,0.007682691190632318,0.02234411324507411,0.9926470588235294,0.9926470588235294,9.0
selection,MBB,ablation,S6_conference,0.9999001298312193,0.999573325392642,0.02662507806204264,0.005869197195267053,0.02015811946365384,0.9852941176470589,0.9852941176470589,9.0
selection,MBB,ablation,S1_winpct,0.7884907776669989,0.45604503087458026,0.40640668485685816,0.1266915924666597,0.04282205992819669,0.5073529411764706,0.5073529411764706,10.0
selection,MBB,ablation,S2_elo,0.9999127617148553,0.9996307254302083,0.03145821750228375,0.007638378043978282,0.023041932922172437,0.9926470588235294,0.9926470588235294,10.0
selection,MBB,ablation,S3_sos,0.9998504486540379,0.9993636806824606,0.03148716892911164,0.007652644437599251,0.018026785252726198,0.9852941176470589,0.9852941176470589,10.0
selection,MBB,ablation,S4_efficiency,0.9998504486540379,0.9993636806824606,0.031425410589768096,0.00763726905226795,0.01793771213615272,0.9852941176470589,0.9852941176470589,10.0
selection,MBB,ablation,S5_recency,0.9998504486540379,0.9993636806824606,0.03150894013129707,0.007672968304358657,0.0179466261109825,0.9852941176470589,0.9852941176470589,10.0
